ID,Severidad,Módulo,Mensaje,Detalles,Timestamp
NET-004,CRITICAL,network,Puertos críticos expuestos a Internet en LA-Santiago - SG «Sys-default» (0 instancias),"{""security_group"": ""Sys-default"", ""rule_id"": ""5c110f38-80ff-4b59-a533-41ec30523d93"", ""port_range"": ""22-22"", ""exposed_ports"": [""22 (SSH)""], ""assigned_instances"": 0, ""protocol"": ""tcp"", ""region"": ""LA-Santiago""}",2025-07-05T02:00:51.413908
NET-004,CRITICAL,network,Puertos críticos expuestos a Internet en LA-Santiago - SG «Sys-default» (0 instancias),"{""security_group"": ""Sys-default"", ""rule_id"": ""68644bb2-52b6-46eb-9833-21c7f52e7963"", ""port_range"": ""3389-3389"", ""exposed_ports"": [""3389 (RDP)""], ""assigned_instances"": 0, ""protocol"": ""tcp"", ""region"": ""LA-Santiago""}",2025-07-05T02:00:51.414270
NET-004,CRITICAL,network,Puertos críticos expuestos a Internet en CN-Hong Kong - SG «default» (0 instancias),"{""security_group"": ""default"", ""rule_id"": ""3f7bc5ab-eea8-49e6-8a72-563c73352e06"", ""port_range"": ""22-22"", ""exposed_ports"": [""22 (SSH)""], ""assigned_instances"": 0, ""protocol"": ""tcp"", ""region"": ""CN-Hong Kong""}",2025-07-05T02:01:06.371856
NET-004,CRITICAL,network,Puertos críticos expuestos a Internet en CN-Hong Kong - SG «default» (0 instancias),"{""security_group"": ""default"", ""rule_id"": ""551f3791-e5d3-47d7-9fa8-acab1012e6c3"", ""port_range"": ""3389-3389"", ""exposed_ports"": [""3389 (RDP)""], ""assigned_instances"": 0, ""protocol"": ""tcp"", ""region"": ""CN-Hong Kong""}",2025-07-05T02:01:06.372325
COMP-004,CRITICAL,compliance,CIS 2.1 - Cloud Trace Service no configurado,{},2025-07-05T02:01:27.764268
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Christian Vazquez,"{""user_id"": ""7621b455711f48daa3d404bba883f1fe"", ""user_name"": ""Christian Vazquez"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:30.663861
IAM-002,HIGH,iam,Usuario sin MFA habilitado: ConectorCloud,"{""user_id"": ""2d5502377631460c9601244670a8aa1c"", ""user_name"": ""ConectorCloud"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:31.824562
IAM-002,HIGH,iam,Usuario sin MFA habilitado: dcabral,"{""user_id"": ""cd50c85ce40f42edb375edba41193bb0"", ""user_name"": ""dcabral"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:32.841357
IAM-002,HIGH,iam,Usuario sin MFA habilitado: diegogarone,"{""user_id"": ""08450e873d00f5051fefc01364c4b18b"", ""user_name"": ""diegogarone"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:33.964916
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Florencia Pavon,"{""user_id"": ""e84771c7285a47939e6895479962ddd0"", ""user_name"": ""Florencia Pavon"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:35.979712
IAM-002,HIGH,iam,Usuario sin MFA habilitado: globo,"{""user_id"": ""5ade0315e9ba4045b063df938541c286"", ""user_name"": ""globo"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:36.986777
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Julian Vazzano,"{""user_id"": ""0563f1d7034343cfa595eeb58b633b99"", ""user_name"": ""Julian Vazzano"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:37.999557
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Nicolas Alcorta,"{""user_id"": ""7b342f3b84144b048b37ade414729bf7"", ""user_name"": ""Nicolas Alcorta"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:39.016913
IAM-002,HIGH,iam,Usuario sin MFA habilitado: prueba.iis,"{""user_id"": ""220c0d60592f4f24bf773beee71891ad"", ""user_name"": ""prueba.iis"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:41.140989
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Ricardo Huberman,"{""user_id"": ""922791f34b45408cbea7f83c440a2293"", ""user_name"": ""Ricardo Huberman"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:42.276987
IAM-002,HIGH,iam,Usuario sin MFA habilitado: rsuarez,"{""user_id"": ""4348314e44b4494ab54f1ce26e1731aa"", ""user_name"": ""rsuarez"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:43.271839
IAM-002,HIGH,iam,Usuario sin MFA habilitado: SManoni,"{""user_id"": ""8cb2fc59f63a4af3ab47710e48b5b551"", ""user_name"": ""SManoni"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:44.275636
IAM-002,HIGH,iam,Usuario sin MFA habilitado: VeeamBackup_Huawei,"{""user_id"": ""affb4d6b5a13438a869b0d5ab6df958d"", ""user_name"": ""VeeamBackup_Huawei"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-05T02:00:46.283537
