ID,Severidad,Mensaje,Detalles,Timestamp
IAM-010,LOW,Cuenta de servicio identificada: VeeamBackup_Huawei,"{'user_id': 'affb4d6b5a13438a869b0d5ab6df958d', 'user_name': 'VeeamBackup_Huawei', 'recommendation': 'Considerar usar IAM Agency en lugar de usuario para servicios'}",2025-08-18T01:54:14.014803
IAM-002,CRITICAL,Usuario administrador sin MFA: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud'}",2025-08-18T01:54:14.763036
IAM-001,CRITICAL,Usuario con acceso administrador: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:18.516292
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:18.516953
IAM-006,HIGH,Usuario con permisos excesivos: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:18.517401
IAM-001,CRITICAL,Usuario con acceso administrador: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:20.001872
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:20.002402
IAM-006,HIGH,Usuario con permisos excesivos: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:20.002756
IAM-001,CRITICAL,Usuario con acceso administrador: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:20.744049
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:20.745303
IAM-006,HIGH,Usuario con permisos excesivos: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:20.746244
IAM-001,CRITICAL,Usuario con acceso administrador: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:21.485000
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:21.485508
IAM-006,HIGH,Usuario con permisos excesivos: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:21.485839
IAM-001,CRITICAL,Usuario con acceso administrador: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:22.220268
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:22.220563
IAM-006,HIGH,Usuario con permisos excesivos: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:22.220691
IAM-001,CRITICAL,Usuario con acceso administrador: Julian Vazzano,"{'user_id': '0563f1d7034343cfa595eeb58b633b99', 'user_name': 'Julian Vazzano', 'permission_sources': ['group:power_user'], 'groups': ['power_user']}",2025-08-18T01:54:22.972219
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: Julian Vazzano,"{'user_id': '0563f1d7034343cfa595eeb58b633b99', 'user_name': 'Julian Vazzano', 'privileged_services': ['vpc', 'obs', 'ecs', 'rds', 'iam_admin'], 'count': 5, 'groups': ['power_user']}",2025-08-18T01:54:22.972908
IAM-001,CRITICAL,Usuario con acceso administrador: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:23.707093
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:23.707286
IAM-006,HIGH,Usuario con permisos excesivos: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:23.707423
IAM-001,CRITICAL,Usuario con acceso administrador: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:24.446565
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:24.446915
IAM-006,HIGH,Usuario con permisos excesivos: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:24.447116
IAM-001,CRITICAL,Usuario con acceso administrador: SManoni,"{'user_id': '8cb2fc59f63a4af3ab47710e48b5b551', 'user_name': 'SManoni', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:27.386321
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: SManoni,"{'user_id': '8cb2fc59f63a4af3ab47710e48b5b551', 'user_name': 'SManoni', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:27.386969
IAM-006,HIGH,Usuario con permisos excesivos: SManoni,"{'user_id': '8cb2fc59f63a4af3ab47710e48b5b551', 'user_name': 'SManoni', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:27.387412
IAM-001,CRITICAL,Usuario con acceso administrador: us_gustavo-dpetrasso-acamuzzigas-dcom-dar,"{'user_id': '6b31f9905d88499985c003f0db251a05', 'user_name': 'us_gustavo-dpetrasso-acamuzzigas-dcom-dar', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-18T01:54:28.128742
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: us_gustavo-dpetrasso-acamuzzigas-dcom-dar,"{'user_id': '6b31f9905d88499985c003f0db251a05', 'user_name': 'us_gustavo-dpetrasso-acamuzzigas-dcom-dar', 'privileged_services': ['iam_admin', 'vpc', 'ecs', 'iam'], 'count': 4, 'groups': ['admin']}",2025-08-18T01:54:28.128929
IAM-006,HIGH,Usuario con permisos excesivos: us_gustavo-dpetrasso-acamuzzigas-dcom-dar,"{'user_id': '6b31f9905d88499985c003f0db251a05', 'user_name': 'us_gustavo-dpetrasso-acamuzzigas-dcom-dar', 'excessive_actions': ['vpc:*', 'iam:*', 'ecs:*', '*:*:*'], 'groups': ['admin']}",2025-08-18T01:54:28.129052
IAM-001,CRITICAL,Usuario con acceso administrador: VeeamBackup_Huawei,"{'user_id': 'affb4d6b5a13438a869b0d5ab6df958d', 'user_name': 'VeeamBackup_Huawei', 'permission_sources': ['group:power_user'], 'groups': ['power_user']}",2025-08-18T01:54:28.859570
IAM-001,HIGH,Usuario con acceso a múltiples servicios privilegiados: VeeamBackup_Huawei,"{'user_id': 'affb4d6b5a13438a869b0d5ab6df958d', 'user_name': 'VeeamBackup_Huawei', 'privileged_services': ['vpc', 'obs', 'ecs', 'rds', 'iam_admin'], 'count': 5, 'groups': ['power_user']}",2025-08-18T01:54:28.859750
IAM-003,HIGH,Access Key sin rotación por 809 días,"{'user_name': 'diegogarone', 'access_key_id': 'DTTDJ53RF3****', 'age_days': 809}",2025-08-18T01:54:33.440159
IAM-003,HIGH,Access Key sin rotación por 1963 días,"{'user_name': 'diegogarone', 'access_key_id': '6OSBSOSYOO****', 'age_days': 1963}",2025-08-18T01:54:33.863664
IAM-003,HIGH,Access Key sin rotación por 2256 días,"{'user_name': 'emilianosilva', 'access_key_id': '9ZZKXLTWBO****', 'age_days': 2256}",2025-08-18T01:54:35.244599
IAM-003,HIGH,Access Key sin rotación por 1259 días,"{'user_name': 'Nicolas Villafane', 'access_key_id': 'Y5TODMRNO9****', 'age_days': 1259}",2025-08-18T01:54:39.913786
IAM-003,HIGH,Access Key sin rotación por 377 días,"{'user_name': 'prueba.iis', 'access_key_id': 'K5SVL53RUW****', 'age_days': 377}",2025-08-18T01:54:41.366724
IAM-003,HIGH,Access Key sin rotación por 2330 días,"{'user_name': 'us_gustavo-dpetrasso-acamuzzigas-dcom-dar', 'access_key_id': '1UEKCRVMLT****', 'age_days': 2330}",2025-08-18T01:54:44.947462
IAM-003,HIGH,Access Key sin rotación por 2287 días,"{'user_name': 'us_gustavo-dpetrasso-acamuzzigas-dcom-dar', 'access_key_id': 'F4QI79CBBN****', 'age_days': 2287}",2025-08-18T01:54:45.366250
IAM-003,HIGH,Access Key sin rotación por 723 días,"{'user_name': 'VeeamBackup_Huawei', 'access_key_id': 'PBQPK4AZ7C****', 'age_days': 723}",2025-08-18T01:54:46.731833
IAM-004,MEDIUM,Política de contraseñas débil: longitud mínima 6,"{'current_length': 6, 'required_length': 12}",2025-08-18T01:54:47.486808
IAM-004,MEDIUM,Política de contraseñas requiere solo 2 tipos de caracteres,"{'current_requirement': 2, 'recommended_requirement': 3, 'description': 'A password must contain at least two of the following: uppercase letters, lowercase letters, digits, and special characters.'}",2025-08-18T01:54:47.487214
IAM-004,HIGH,Contraseñas sin expiración configurada,{'current_setting': 'Las contraseñas nunca expiran'},2025-08-18T01:54:47.487445
IAM-004,LOW,Historial de contraseñas insuficiente: 1,"{'current_history': 1, 'recommended_history': 12}",2025-08-18T01:54:47.487715
IAM-004,LOW,Sin edad mínima de contraseña configurada,"{'current_setting': 0, 'recommended_setting': 1, 'impact': 'Permite cambios de contraseña inmediatos repetidos'}",2025-08-18T01:54:47.487921
IAM-004,LOW,Permite muchos caracteres idénticos consecutivos: 0,"{'current_setting': 0, 'recommended_setting': 3, 'risk': 'Facilita contraseñas débiles como ""aaaaaa""'}",2025-08-18T01:54:47.488180
